"product","substance_name","substance_synonym","abbreviation","abbreviation_synonym","substance_group","cas_number","source","source_text"
"Blowing agent","1,1,1,3,3-pentafluorobutane",,"HFC-365mfc",,,"406-58-6","A.100","A.100 row: 1,1,1,3,3-pentafluorobutane (Process: ; Class: Hydrofluorocarbons)"
"Byproduct","1-Methoxy(perfluoro-2-methyl-1-propene)",,"Ether B",,,"360-53-2","A.100","A.100 row: 1-Methoxy(perfluoro-2-methyl-1-propene) (Process: TFE & HFP production; Class: Hydrofluoroethers)"
"Byproduct","2-[Difluoro(methoxy)methyl]-1,1,1,3,3,3-hexafluoropropane",,"Ether A",,,"382-26-3","A.100","A.100 row: 2-[Difluoro(methoxy)methyl]-1,1,1,3,3,3-hexafluoropropane (Process: TFE & HFP production; Class: Hydrofluoroethers)"
"Byproduct","Heptafluoropropyl 1,2,2,2-tetrafluoroethyl ether",,"E1",,,"3330-15-2","A.100","A.100 row: Heptafluoropropyl 1,2,2,2-tetrafluoroethyl ether (Process: Polymerization; Class: Hydrofluoroethers)"
"Byproduct","Perfluoroallylchloride",,"PFAC",,,"2804-50-4","A.100","A.100 row: Perfluoroallylchloride (Process: HCFC-22 pyrolysis; Class: )"
"Byproduct","Perfluorobutanoic acid",,"PFBA",,,"375-22-4","A.100","A.100 row: Perfluorobutanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluorocyclobutane",,"PFC-318",,,"115-25-3","A.100","A.100 row: Perfluorocyclobutane (Process: HCFC-22 pyrolysis; Class: Perfluorocarbons)"
"Byproduct","Perfluorodecanoic acid",,"PFDA",,,"335-76-2","A.100","A.100 row: Perfluorodecanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluorododecanoic acid",,"PFDoDA",,,"307-55-1","A.100","A.100 row: Perfluorododecanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluoroheptanoic acid",,"PFHpA",,,"75-85-93","A.100","A.100 row: Perfluoroheptanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluorohexadecanoic acid",,"PFHxDA",,,"67905-19-5","A.100","A.100 row: Perfluorohexadecanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluoroisobutylene",,"PFIB",,,"382-21-8","A.100","A.100 row: Perfluoroisobutylene (Process: HCFC-22 pyrolysis; Class: Fluoroalkenes)"
"Byproduct","Perfluorooctadecanoic acid",,"PFOcDA",,,"16517-11-6","A.100","A.100 row: Perfluorooctadecanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluoropentanoic acid",,"PFPeA",,,"2706-90-3","A.100","A.100 row: Perfluoropentanoic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Perfluoropropionic acid",,"PFPA",,,"422-64-0","A.100","A.100 row: Perfluoropropionic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Byproduct","Trifluoroacetic acid",,"TFA",,,"76-05-1","A.100","A.100 row: Trifluoroacetic acid (Process: Polymerization; Class: Perfluoroalkyl acids)"
"Chain transfer agent","1,4-diiodoperfluorobutane",,"DIOFB",,,"375-50-8","A.100","A.100 row: 1,4-diiodoperfluorobutane (Process: Polymerization; Class: Iodinated perfluorocarbons)"
"Chain transfer agent","1,6-diiodoperfluorohexane",,"DIOFH",,,"375-80-4","A.100","A.100 row: 1,6-diiodoperfluorohexane (Process: Polymerization; Class: Iodinated perfluorocarbons)"
"Coolant","Pentafluoroethane",,"HFC-125",,,"354-33-6","A.100","A.100 row: Pentafluoroethane (Process: Cooling; Class: Hydrofluorocarbons)"
"Coolant","Tetrafluorochloroethane",,"HCFC-124",,,"359-28-4","A.100","A.100 row: Tetrafluorochloroethane (Process: Cooling; Class: Hydrochlorofluorocarbons)"
"Cooling","Perfluorohexane",,"FC-72",,,"355-42-0","A.100","A.100 row: Perfluorohexane (Process: ; Class: Perfluorocarbons)"
"Curing agent","Bisphenol AF",,"BPAF",,,"1478-61-1","A.100","A.100 row: Bisphenol AF (Process: Fluoroelastomer curing; Class: Bisphenols)"
"Feedstock substance","Hexafluoropropylene oxide",,"HFPO",,,"428-59-1","A.100","A.100 row: Hexafluoropropylene oxide (Process: Monomer production; Class: Perfluoroepoxide)"
"Fluoropolymer","Ethylene chlorotrifluoroethylene",,"ECTFE",,,"25101-45-5","A.100","A.100 row: Ethylene chlorotrifluoroethylene (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Ethylene tetrafluoroethylene",,"ETFE",,,"25038-71-5","A.100","A.100 row: Ethylene tetrafluoroethylene (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Fluorinated ethylene propylene",,"FEP",,,"25067-11-2","A.100","A.100 row: Fluorinated ethylene propylene (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Fluorine Kautschuk Material",,"FKM",,,"64706-30-5","A.100","A.100 row: Fluorine Kautschuk Material (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Perfluoroalkoxyalkane",,"PFA",,,"26655-00-5","A.100","A.100 row: Perfluoroalkoxyalkane (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Perfluoropolyether",,"PFPE",,,"60164-51-4","A.100","A.100 row: Perfluoropolyether (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Polychlorotrifluoroethylene",,"PCTFE",,,"9002-83-9","A.100","A.100 row: Polychlorotrifluoroethylene (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0","A.100","A.100 row: Polytetrafluoroethylene (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Polyvinylidene fluoride",,"PVDF",,,"24937-79-9","A.100","A.100 row: Polyvinylidene fluoride (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Tetrafluoroethylene hexafluoropropylene and vinylidene fluoride",,"THV",,,"25190-89-0","A.100","A.100 row: Tetrafluoroethylene hexafluoropropylene and vinylidene fluoride (Process: Polymerization; Class: Fluoropolymers)"
"Fluoropolymer","Tetrafluoroethylene propylene",,"FEPM",,,"64706-30-5","A.100","A.100 row: Tetrafluoroethylene propylene (Process: Polymerization; Class: Fluoropolymers)"
"Fluorosurfactant","(difluoro{[2,2,4,5-tetrafluoro-5-(trifluoromethoxy)- 1,3-dioxolan-4-yl]oxy}acetic acid)",,"cC6O4",,,"1190931-27-1","A.100","A.100 row: (difluoro{[2,2,4,5-tetrafluoro-5-(trifluoromethoxy)- 1,3-dioxolan-4-yl]oxy}acetic acid) (Process: Polymerization; Class: Perfluoroether carboxylic acids)"
"Fluorosurfactant","1-Propene, 1,1,2,3,3,3-hexafluoro-,telomer with chlorotrifluoroethene, oxidized, reduced, hydrolyzed",,"ADV",,,"3 30809-92-2","A.100","A.100 row: 1-Propene, 1,1,2,3,3,3-hexafluoro-,telomer with chlorotrifluoroethene, oxidized, reduced, hydrolyzed (Process: Polymerization; Class: Perfluoroether carboxylic acids)"
"Fluorosurfactant","2-(3-trifluoromethoxy-1,1,2,2,3,3-hexafluoropropoxy)-2,3,3,3-tetrafluoropropanoic acid",,"MV31",,,"496805-64-2","A.100","A.100 row: 2-(3-trifluoromethoxy-1,1,2,2,3,3-hexafluoropropoxy)-2,3,3,3-tetrafluoropropanoic acid (Process: Polymerization; Class: Perfluoroether carboxylic acids)"
"Fluorosurfactant","6:2 fluorotelomersulfonic acid",,"6:2 FTS",,,"34455-29-3","A.100","A.100 row: 6:2 fluorotelomersulfonic acid (Process: Polymerization; Class: Fluorotelomer sulfonic acids)"
"Fluorosurfactant","Hexafluoropropylene oxide dimer acid",,"HFPO-DA",,,"13252-13-6","A.100","A.100 row: Hexafluoropropylene oxide dimer acid (Process: Polymerization; Class: Perfluoroether carboxylic acids)"
"Fluorosurfactant","Perfluoro(2-ethoxy-2-fluoroethoxy)-acetic acid",,"EEA",,,"908020-52-0","A.100","A.100 row: Perfluoro(2-ethoxy-2-fluoroethoxy)-acetic acid (Process: Polymerization; Class: Perfluoroether carboxylic acids)"
"Fluorosurfactant","Perfluoro-4,8-dioxa-3H-nonanoic acid",,"DONA",,,"919005-14-4","A.100","A.100 row: Perfluoro-4,8-dioxa-3H-nonanoic acid (Process: Polymerization; Class: Perfluoroether carboxylic acids)"
