"source","full_text","substance_name","cas_number","type","monomer_1","monomer_2","monomer_3","monomer_4","monomer_5","monomer_6"
"A.104","Polytetrafluoroethylene; a polymer of: tetrafluoroethylene (TFE)","Polytetrafluoroethylene","9002-84-0","polymer","tetrafluoroethylene (TFE)",,,,,
"A.105","A copolymer of TFE and PFMVE \ modified with 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene and 1,3,5-triallyl cyanurate or 1,3,5-triallyl isocyanurate","A copolymer of TFE and PFMVE \ modified with 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene and 1,3,5-triallyl cyanurate or 1,3,5-triallyl isocyanurate","26425-79-6","copolymer","TFE","PFMVE \",,,,
"A.105","A copolymer of TFE and PFMVE modified with 1,3,5-triallyl isocyanurate or 1,3,5-triallyl cyanurate and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterised as further described in the notification","A copolymer of TFE and PFMVE modified with 1,3,5-triallyl isocyanurate or 1,3,5-triallyl cyanurate and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterised as further described in the notification","26425-79-6 (TFE and PFMVE)","copolymer","TFE","PFMVE",,,,
"A.105","A copolymer of TFE and perfluoromethylvinyl ether (PFMVE) modified with 1,3,5-triallyl isocyanurate (TAIC) and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterized as further described in the notification","A copolymer of TFE and perfluoromethylvinyl ether (PFMVE) modified with 1,3,5-triallyl isocyanurate (TAIC) and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterized as further described in the notification","26425-79-6","copolymer","TFE","perfluoromethylvinyl ether (PFMVE)",,,,
"A.105","A copolymer of TFE and trifluoromethyl trifluorovinyl ether, and optionally employing a halogenated alkene.","A copolymer of TFE and trifluoromethyl trifluorovinyl ether, and optionally employing a halogenated alkene.","116-14-3,1187-93-5 (ether)","copolymer","TFE","trifluoromethyl trifluorovinyl ether","optionally employing a halogenated alkene.",,,
"A.105","A copolymer of propylene, TFE, and 3,3,3-trifluoropropene cured with a salt of a quarternary ammonium compound and phenol, 4,4'-(2,2,2-trifluoro-1- (trifluoromethyl)ethylidene)bis-","A copolymer of propylene, TFE, and 3,3,3-trifluoropropene cured with a salt of a quarternary ammonium compound and phenol, 4,4'-(2,2,2-trifluoro-1- (trifluoromethyl)ethylidene)bis-","115-07-1,116-14-3,677-21-4 (trifluoropr opene)","copolymer","propylene","TFE","3",,"3-trifluoropropene",
"A.105","A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing TFE, , perfluoro-2,5-dimethyl- 3,6-dioxanonane vinyl ether, and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexene, and subsequent curing of the terpolymer with triallylisocyanurate and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane","A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing TFE, , perfluoro-2,5-dimethyl- 3,6-dioxanonane vinyl ether, and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexene, and subsequent curing of the terpolymer with triallylisocyanurate and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane","116-14-3,2599-84-0 (vinyl ether) 106108-22-9 (hexene) 106108-23-0 (terpolymer) 1025-15-6,78-63-7","terpolymer","TFE","perfluoro-2","5-dimethyl- 3","6-dioxanonane vinyl ether","perfluoro-6","6-dihydro-6-iodo-3-oxa-1-hexene"
"A.105","A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing TFE, PFMVE and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexane, and subsequent curing of the terpolymer with triallylisocyanurate and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane","A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing TFE, PFMVE and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexane, and subsequent curing of the terpolymer with triallylisocyanurate and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane","116-14-3 (TFE) 1187-93-5 (PFMVE) 106108-22-9 (perfluoro-alkane) 193018-53-0 (terpolymer) 1025-15-6 (triallylisoc yanurate) 78-63-7 (hexane)","terpolymer","TFE","PFMVE","perfluoro-6","6-dihydro-6-iodo-3-oxa-1-hexane",,
"A.105","A perfluorocarbon-cured elastomer (PCE) produced by terpolymerizing TFE perfluoro (2,5-dimethyl- 3,6-dioxanone vinyl ether) and perfluoro (6,6-dihydro- 6-iodo- 3-oxa- 1-hexene) and subsequent curing of the terpolymer by crosslinking with triallylcyanurate and vulcanizing with 2,5-dimethyl- 2,5-di (t-butylperoxy) hexane, as a 68% dispersion on finely divided silica","A perfluorocarbon-cured elastomer (PCE) produced by terpolymerizing TFE perfluoro (2,5-dimethyl- 3,6-dioxanone vinyl ether) and perfluoro (6,6-dihydro- 6-iodo- 3-oxa- 1-hexene) and subsequent curing of the terpolymer by crosslinking with triallylcyanurate and vulcanizing with 2,5-dimethyl- 2,5-di (t-butylperoxy) hexane, as a 68% dispersion on finely divided silica","116-14-3 (TFE) 2599-84-0 (vinyl ether) 106108-22-9 (perfluoro alkene) 106108-23-0 (terpolymer) 101-37-1 (triallycyan urate) 78-63-7 (hexane)","terpolymer","TFE perfluoro (2","5-dimethyl- 3","6-dioxanone vinyl ether)","perfluoro (6","6-dihydro- 6-iodo- 3-oxa- 1-hexene)",
"A.105","Fluorocarbon cured elastomer produced by copolymerizing TFE and propylene and subsequent curing of the copolymer with triallylisocyanurate and 2,2’bis-(t-butylperoxy) diisopropylbenzene.","Fluorocarbon cured elastomer produced by copolymerizing TFE and propylene and subsequent curing of the copolymer with triallylisocyanurate and 2,2’bis-(t-butylperoxy) diisopropylbenzene.","116-14-3 (TFE) 115-07-1 (propylene) 27029-05-6 (copolymer) 1025-15-6 (triallylisoc yanurate) 25155-25-3 (2,2’bis-(t-butylperoxy) diisopropyl benzen)","copolymer","TFE","propylene",,,,
