"source","substance_name","abbreviation","cas_number","use","regulatory_listing"
"A.105","(Perfluorobutyl)ethylene","No data","19430-93-4","Consumer cookware","Monomers listed in Reg. 10/2011."
"A.105","1,9- Decadiene,3,3,4,4,5,5,6,6- ,7,7,8,8-dodecafluoro-, polymer with TFE and trifluoro (trifluoromethoxy)ethene manufactured and characterized as further described in the notification.","No data","190062-24-9 (trifluoro ethene)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","1-Propene,1,1,2,3,3,3-hexafluoro-polymer with 1,1-difluoroethene and TFE modified with triallyl","No data","25190-89-0 (polymer with ethene and TFE)","Industrial food processing and food","Monomers in Reg. 10/2011"
"A.105","2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid; or perfluoro[2(n-propoxy)propanoic acid]","GenX, HFPO-DA, FRD-903","13252-13-6","Consumer cookware","PPA in Reg. 10/2011. Substitute for PFOA"
"A.105","2,3,3,4,4,5,5-Heptafluoro- 1-pentene","No data","1547-26-8","Consumer cookware","Monomer Listed in 10/2011."
"A.105","2H-perfluoro-[(5,8,11,14-tetramethyl)-tetraethyleneglycol ethyl propyl ether]","No data","37486-69-4","Consumer cookware","PPA Listed in 10/2011."
"A.105","3H-perfluoro-3-[(3-methoxy-propoxy)propanoic acid], ammonium salt","ADONA","958445-44-8","Consumer cookware","PPA Listed in 10/2011."
"A.105","A copolymer of TFE and PFMVE modified with 1,3,5-triallyl isocyanurate or 1,3,5-triallyl cyanurate and 3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-1,9-diene, manufactured and characterised as further described in the notification","No data","26425-79-6 (TFE and PFMVE)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","A perfluorocarbon cured elastomer (PCE) produced by terpolymerizing TFE, PFMVE and perfluoro-6,6-dihydro-6-iodo-3-oxa-1-hexane, and subsequent curing of the terpolymer with triallylisocyanurate and 2,5-dimethyl-2,5-di(t-butylperoxy)hexane","No data","116-14-3 (TFE) 1187-93-5 (PFMVE) 106108-22-9 (perfluoro-alkane) 193018-53-0 (terpolymer) 1025-15-6 (triallylisoc yanurate) 78-63-7 (hexane)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","A perfluorocarbon-cured elastomer (PCE) produced by terpolymerizing TFE perfluoro (2,5-dimethyl- 3,6-dioxanone vinyl ether) and perfluoro (6,6-dihydro- 6-iodo- 3-oxa- 1-hexene) and subsequent curing of the terpolymer by crosslinking with triallylcyanurate and vulcanizing with 2,5-dimethyl- 2,5-di (t-butylperoxy) hexane, as a 68% dispersion on finely divided silica","No data","116-14-3 (TFE) 2599-84-0 (vinyl ether) 106108-22-9 (perfluoro alkene) 106108-23-0 (terpolymer) 101-37-1 (triallycyan urate) 78-63-7 (hexane)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","A polymer produced from TFE and 1,1,2,2-tetrafluoro-2-((1,2,2-trifluoroethenyl)oxy) ethane sulfonyl fluoride. The polymer is hydrolysed and may optionally be further neutralized to its ammonium salt.","No data","116-14-3 (TFE) 29514-94-1 (fluoride)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","Chlorotrifluoroethylene","No data","79-38-9","Consumer cookware","Monomer Listed in 10/2011. (The monomer is not a PFAS, the polymer is a PFAS)."
"A.105","Chlorotrifluoroethylene","ECTFE","79-38-9","Industrial food processing and food transport equipment","Monomer in Reg. 10/2011"
"A.105","Copolymer of TFE, PFMVE and 1-Butene, 4-bromo- 3,3,4,4-tetrafluoro-, polymer with ethene, 1,1,2,2-tetrafluoroethene and 1,1,2-trifluoro-2- (trifluoromethoxy)ethene. intended to be cross-linked with triallylisocyanurate","No data","105656-63-1","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","Ethene, tetrafluoro-, polymer with 1,1-difluoroethene and trifluoro(trifluoromethoxy)e thene modified with 1,3,5-triallyl isocyanurate (TAIC) and 3,3,4,4,5,5,6,6,7,7,8,8-","No data","56357-87-0 (ethene, fluoro, polymer mixture)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","Ethylene tetrafluoroethylene copolymer","ETFE","25038-71-5","Industrial food processing and food transport equipment","Monomer in Reg. 10/2011"
"A.105","Fluorocarbon cured elastomer produced by copolymerizing TFE and propylene and subsequent curing of the copolymer with triallylisocyanurate and 2,2’bis-(t-butylperoxy) diisopropylbenzene.","No data","116-14-3 (TFE) 115-07-1 (propylene) 27029-05-6 (copolymer) 1025-15-6 (triallylisoc yanurate) 25155-25-3 (2,2’bis-(t-butylperoxy) diisopropyl benzen)","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","Hexafluoropropylene","No data","116-15-4","Consumer cookware","Monomer in Reg. 10/2011."
"A.105","Other HFP copolymers e.g. with TFE","HFP","116-15-4","Industrial food processing and food transport equipment","Monomer in Reg. 10/2011"
"A.105","Perfluoro acetic acid, α-substituted with the copolymer of perfluoro- 1,2-propylene glycol and perfluoro-1,1-ethylene glycol, terminated with chlorohexa-fluoropropyloxy groups","No data","329238-24-6","Consumer cookware","PPA Listed in 10/2011."
"A.105","Perfluoro acetic acid, α-substituted with the copolymer of perfluoro- 1,2-propylene glycol and perfluoro-1,1-ethylene glycol, terminated with chlorohexa-fluoropropyloxy groups","No data","329238-24-6","Industrial food processing and food transport equipment","PPA in Reg. 10/2011 – specification: Up to 0.5% w/w in the polymerisation of fluoropolymers that are processed at temperatures at or above 340 °C and are intended"
"A.105","Perfluoro[(2-ethyloxy-ethoxy)acetic acid]], ammonium salt","No data","908020-52-0","Consumer cookware","Monomer and emulsifier (PPA) Listed in 10/2011."
"A.105","Perfluoro[2-(poly(n-propoxy))propanoic acid] or perfluoropolyether carboxylic acid","No data","51798-33-5","Consumer cookware","Monomer and emulsifier (PPA) Listed in 10/2011."
"A.105","Perfluoroalkoxy alkanes (PFA); a copolymer of: Perfluoroalkyl vinyl ether, and tetrafluoroethene","PFA","e.g. 26655-00-5, 1623-05-8,116-14-3","Industrial food processing and food transport equipment","Monomer in Reg. 10/2011."
"A.105","Perfluoroalkyl vinyl ethers: Perfluoromethyl vinyl ether Perfluoroethyl vinyl ether Perfluoropropyl vinyl ether","e.g. PFMVE PFEVE PFPVE","e.g. 1187-93-5,10493-43-3,1623-05-8","Consumer cookware","Monomers listed in Reg. 10/2011."
"A.105","Perfluoroethylene propylene, or Fluorinated Ethylene Propylene (FEP); is a copolymer of: Hexafluoropropene (see above), and-tetrafluoroethylene","FEP","25067-11-2,116-15-4,116-14-3","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","Perfluorooctanoic acid, ammonium salt","PFOA","3825-26-1","Consumer cookware","PPA listed in Reg. 10/2011. No longer used."
"A.105","Polytetrafluoroethylene; a polymer of: tetrafluoroethylene","PTFE","9002-84-0,116-14-3","Consumer cookware","Monomer and PPA Listed in 10/2011."
"A.105","Sodium 4-perfluorononyloxy-benzenesulphonate","No data","e.g. 59536-17-3","Consumer cookware","Monomer and emulsifier (PPA)"
"A.105","VF and HFP copolymers","No data","9011-17-0","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","VF, HFP and tetrafluoroethylene (TFE) copolymers","No data","25190-89-0","Industrial food processing and food transport equipment","Monomers in Reg. 10/2011"
"A.105","Vinylidene fluoride","No data","75-38-7","Consumer cookware","Monomer Listed in 10/2011. (The monomer is not a PFAS, the polymer is a PFAS)."
"A.105","perfluoro{acetic acid, 2- [(5-methoxy-1,3-dioxolan-4-yl)oxy]}, ammonium salt","No data","1190931-27-1","Consumer cookware","PPA Listed in 10/2011."
"A.106","(Perfluorobutyl)ethyle ne","No data","19430-93-4","Consumer cookware","Monomers listed in Reg. 10/2011. Co-monomer. For use in polymers, sintered at high temperatures."
"A.106","2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid; or perfluoro[2-(n-propoxy)propanoic acid]","GenX, HFPO-DA, FRD-903","13252-13-6","Consumer cookware","PPA in Reg. 10/2011. Emulsifier. Replacement for PFOA in production of PTFE. For use as top layer for cooking, baking and roasting utensils, used at max temperature of 230 °C."
"A.106","2,3,3,4,4,5,5- Heptafluoro-1-pentene","No data","1547-26-8","Consumer cookware","Monomer Listed in 10/2011. For fluoro-copolymers for their application as a PPA."
"A.106","2H-perfluoro- [(5,8,11,14-tetramethyl)-tetraethyleneglycol ethyl propyl ether]","No data","37486-69-4","Consumer cookware","PPA Listed in 10/2011. For use in FPs that are processed at temperatures at or above 300 °C (in repeated use) or 360 °C (in single use) articles."
"A.106","3H-perfluoro-3-[(3-methoxy-propoxy)propanoic acid], ammonium salt","ADONA","958445-44-8","Consumer cookware","PPA Listed in 10/2011. Emulsifier for use in the polymerisation of FPs that are processed at temperatures at or above 190 °C."
"A.106","Chlorotrifluoroethylen e","No data","79-38-9","Consumer cookware","Monomer Listed in 10/2011 (The monomer is not a PFAS, the polymer is a PFAS)."
"A.106","Hexafluoropropylene","No data","116-15-4","Consumer cookware","Monomer in Reg. 10/2011. For use in temperature resistant polymer coating systems for frying, cooking and baking utensils."
"A.106","Perfluoro acetic acid, α-substituted with the copolymer of perfluoro-1,2-propylene glycol and perfluoro-1,1-ethylene glycol, terminated with chlorohexa-fluoropropyloxy groups","No data","329238-24-6","Consumer cookware","PPA Listed in 10/2011. For FPs that are processed at temperatures at or above 340 °C and are intended for use in repeated use articles. Listed in 10/2011 as FCM."
"A.106","Perfluoro[(2-ethyloxy-ethoxy)acetic acid]], ammonium salt","No data","908020-52-0","Consumer cookware","Monomer and emulsifier (PPA) Listed in 10/2011. For use in temperature resistant polymer coating systems for frying, cooking and baking utensils. as FCM."
"A.106","Perfluoro[2-(poly(n-propoxy))propanoic acid] or perfluoropolyether carboxylic acid","No data","51798-33-5","Consumer cookware","Monomer and emulsifier (PPA) Listed in 10/2011. For the emulsion polymerisation of FPs."
"A.106","Perfluoroalkyl vinyl ethers: Perfluoromethyl vinyl ether Perfluoroethyl vinyl ether Perfluoropropyl vinyl ether","e.g. PFMVE PFEVE PFPVE","e.g. 1187-93-5,10493-43-3,1623-05-8","Consumer cookware","Monomers listed in Reg. 10/2011. For use in temperature resistant polymer coating systems for frying, cooking and baking utensils and moulded articles for industrial use. Anti-stick coatings. For manufacturing of PTFE for use as top layer for cooking, baking and roasting utensils, used at max temperature of"
"A.106","Polytetrafluoroethylen e; a polymer of: tetrafluoroethylene","PTFE","9002-84-0,116-14-3","Consumer cookware","Monomer Listed in 10/2011. Polymer for coating cookware, such as coatings on frying pans and articles for oven baking, and moulded articles for industrial use. Temperature resistant polymer coating systems for frying, cooking and baking utensils. Non-stick baking paper, films, foil and cooking bags."
"A.106","Sodium 4-perfluorononyloxy-benzenesulphonate","No data","e.g. 59536-17-3","Consumer cookware","Monomer and emulsifier (PPA) Only for use in coatings on kitchen utensils for cooking, baking, roasting etc."
