"product","substance_name","substance_synonym","abbreviation","abbreviation_synonym","substance_group","cas_number","source","source_text"
"Coated rubber","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0","A.104","A.104 row: Polytetrafluoroethylene; a polymer of: tetrafluoroethylene (TFE)"
"Consumer and industrial cookware","2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid","perfluoro[2(n-propoxy)propanoic acid]","GenX","HFPO-DA, FRD-903",,"13252-13-6","A.104","A.104 row: 2,3,3,3-tetrafluoro-2-heptafluoropropoxy)-propinoic acid; or perfluoro[2(n-propoxy)propanoic acid]"
"Cooking and baking equipment","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0","A.104","A.104 row: Polytetrafluoroethylene; a polymer of: tetrafluoroethylene (TFE)"
"Food, non-food and feed packaging","Perfluoroalkyl(C6-C16) phosphates of bis(2-hydroxyethyl)amine","Diethanolamine salts of mono-and bis(1H,1H,2H,2H-perfluoroalkyl(C8-C18) phosphates [mono-and di-PAP, FT])",,,,"65530-64-5","A.104","A.104 row: Perfluoroalkyl(C6-C16) phosphates of bis(2-hydroxyethyl)amine or Diethanolamine salts of mono-and bis(1H,1H,2H,2H-perfluoroalkyl(C8-C18) phosphates [mono-and di-PAP, FT])"
"Liquid processing equipment","Ethylene-tetrafluoroethylene copolymer",,"ETFE",,,,"A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Liquid processing equipment","Perfluoroelastomer",,"FFKM",,,,"A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Liquid processing equipment","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0","A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Liquid processing equipment","Silicone Rubber, fluorinated (fluoroelastomer)",,"FKM",,,"64706-30-65","A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Liquid processing equipment","Tetrafluoroethylene-perfluoropropylene copolymer",,"FEP",,,"25067-11-2","A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Rubber components","Ethylene-tetrafluoroethylene copolymer",,"ETFE",,,,"A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Rubber components","Perfluoroelastomer",,"FFKM",,,,"A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Rubber components","Polytetrafluoroethylene",,"PTFE",,,"9002-84-0","A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Rubber components","Silicone Rubber, fluorinated (fluoroelastomer)",,"FKM",,,"64706-30-65","A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"Rubber components","Tetrafluoroethylene-perfluoropropylene copolymer",,"FEP",,,"25067-11-2","A.104","A.104 row: Silicone Rubber, fluorinated FKM, fluoroelastomers (1,1-Difluoroethylen-hexafluoropropenpolymer) Ethene, 1,1,2,2-tetrafluoro-, homopolymer (PTFE) Ethylene-tetrafluoroethylene copolymer (ETFE) FKM Perfluoroelastomer (FFKM) Tetrafluoroethylene-perfluoropropylene copolymer (FEP)"
"A fluoroelastomer designed for finished parts, which are compliant with the regulations of the U.S. Food and Drug Administration (FDA) 21 CFR 177. 2600(c)(4)(i)","A dipolymer made from HFP and vinylidene fluoride (VF).",,,,"A dipolymer made from HFP and vinylidene fluoride (VF).","9011-17-0","A.105","A.105 row: A dipolymer made from HFP and vinylidene fluoride (VF). -- A fluoroelastomer designed for finished parts, which are compliant with the regulations of the U.S. Food and Drug Administration (FDA) 21 CFR 177. 2600(c)(4)(i)."
"A fluoroelastomer designed for finished parts, which are compliant with the regulations of the U.S. Food and Drug Administration (FDA) 21 CFR 177. 2600(c)(4)(i)","A dipolymer made from HFP and vinylidene fluoride (VF).",,,,"A dipolymer made from HFP and vinylidene fluoride (VF).","1478-61-1","A.105","A.105 row: A dipolymer made from HFP and vinylidene fluoride (VF). -- A fluoroelastomer designed for finished parts, which are compliant with the regulations of the U.S. Food and Drug Administration (FDA) 21 CFR 177. 2600(c)(4)(i)."
"A silicone-based fluoroelastomer","Silicone Rubber, fluorinated",,,,,"64706-30-65","A.105","A.105 row: Silicone Rubber, fluorinated -- A silicone-based fluoroelastomer."
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)",,,,"1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)","63225-56-9","A.105","A.105 row: 1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1) -- Coating for polyethylene film used e.g. for packaging toys and foodstuff"
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)",,,,"1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)","63225-57-0","A.105","A.105 row: 1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1) -- Coating for polyethylene film used e.g. for packaging toys and foodstuff"
"Coating for polyethylene film used e.g. for packaging toys and foodstuff","1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)",,,,"1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1)","63225-58-1","A.105","A.105 row: 1-Alkanol, 1H,1H,2H,2H-perfluoro-, 1-(hydrogen sulfate), ammonium salt (1:1) -- Coating for polyethylene film used e.g. for packaging toys and foodstuff"
